"ForestTypeGroup","AgeGroup","carbon","carbon_se","total","total_se","rfCarbon","rfCarbonUpper","rfCarbonLower","ShortName","Age","Area","Prop","originalArea","AreaSE","ForestTypeGroupCode"
"Tanoak / laurel",30,104.769156264896,11.1248584035441,11216508.0682633,3220253.76723012,-15.4100859746409,-13.7737740049151,-17.0463979443667,"TanoakL","31-40 years",209373.253637789,0.0999948812660115,188437,17.22,940
"Tanoak / laurel",40,150.750937808027,16.2476846639096,17123098.7946607,4724547.05560145,-22.1733666204756,-19.7835581454827,-24.5631750954685,"TanoakL","41-50 years",402331.045082672,0.0999948812660115,362100,12.69,940
"Tanoak / laurel",50,167.492547605746,12.8004815186063,36144590.1484598,7112386.06240274,-24.6358246141664,-22.7530517853027,-26.5185974430302,"TanoakL","51-60 years",270642.905167736,0.0999948812660115,243580,15.57,940
"Tanoak / laurel",60,178.778837896254,21.2751394607415,24920078.7946167,6654938.85571269,-26.2958809696051,-23.1666038054026,-29.4251581338076,"TanoakL","61-70 years",197796.652812834,0.0999948812660115,178018,18.13,940
"Tanoak / laurel",70,205.199437643353,27.0437049192452,19201765.2337116,5926950.63228725,-30.181983789551,-26.2042308636355,-34.1597367154665,"TanoakL","71-80 years",158926.87388401,0.0999948812660115,143035,20.1,940
"Tanoak / laurel",80,170.433160548399,31.9833675130612,11542080.5933963,4220341.34282357,-25.0683478860906,-20.3640392831974,-29.7726564889838,"TanoakL","81-90 years",186688.938209985,0.0999948812660115,168021,18.48,940
"Tanoak / laurel",90,218.321403783317,24.6784363084196,22347074.4370581,6520111.44583482,-32.1120425356758,-28.4821877311672,-35.7418973401844,"TanoakL","91-100 years",101231.646469034,0.0999948812660115,91109,23.57,940
"Tanoak / laurel",100,285.841743667646,39.7693727041828,10959597.146364,4580234.29586002,-42.0433455999452,-36.1938239050345,-47.8928672948558,"TanoakL","101-110 years",90420.5968455752,0.0999948812660115,81379,26.15,940
"Tanoak / laurel",110,242.74053330973,27.1228358609414,10847063.1624129,4471449.33938796,-35.7037569184516,-31.7143649314015,-39.6931489055017,"TanoakL","111-120 years",55950.7928919719,0.0999948812660115,50356,32.27,940
"Tanoak / laurel",120,229.068388005798,37.4527171909518,6357867.02230016,3403644.78591904,-33.6927744680568,-28.1840005839069,-39.2015483522067,"TanoakL","121-130 years",11078.8258782638,0.0999948812660115,9971,66.01,940
"Tanoak / laurel",130,166.512688399836,24.7374521890164,1220606.93890613,889225.20732195,-24.4917009508247,-20.8531657309507,-28.1302361706988,"TanoakL","131-140 years",16525.4615672869,0.0999948812660115,14873,55.15,940
"Tanoak / laurel",140,125.441616917938,66.5253390939484,2089113.34810556,1792470.32491067,-18.4507174670365,-8.66576518262666,-28.2356697514463,"TanoakL","141-150 years",29244.2781181329,0.0999948812660115,26320,45.26,940
"Tanoak / laurel",150,103.293491744122,43.4700482471661,1006295.06282029,563200.591608123,-15.1930362441137,-8.79919663814309,-21.5868758500843,"TanoakL","151-160 years",85755.0678251329,0.0999948812660115,77180,27.74,940
"Tanoak / laurel",160,337.390361445877,38.0403789010316,15808617.291952,6487714.70264732,-49.6254304439615,-44.0302196942379,-55.220641193685,"TanoakL","161-170 years",8482.17398000861,0.0999948812660115,7634,85.94,940
"Tanoak / laurel",170,267.796128546305,0,1666636.65492744,1666636.65492102,-39.3890865565485,-19.6945432782742,-59.0836298348227,"TanoakL","171-180 years",6269.96433968936,0.0999948812660115,5643,104,940
"Tanoak / laurel",180,113.895008090867,68.8091642411878,1784663.92950025,1075895.17122785,-16.7523718748392,-6.63150066996943,-26.873243079709,"TanoakL","181-190 years",21778.7650225503,0.0999948812660115,19601,55.46,940
"Tanoak / laurel",190,174.617183221636,0,862545.69389563,862545.693896163,-25.6837594386224,-12.8418797193112,-38.5256391579336,"TanoakL","191-200 years",6287.74201635692,0.0999948812660115,5659,110.36,940
"Tanoak / laurel",200,238.272776387814,35.9742989750961,14598739.9744599,5283529.08013273,-35.046612003526,-29.7552928801571,-40.3379311268949,"TanoakL","200+ years",80123.9887406839,0.0999948812660115,72112,24.47,940
"Tanoak / laurel",999,NA,NA,NA,NA,NA,NA,NA,"TanoakL","Others",269148.46922287,0.0999948812660115,242235,15.01,940
"Tanoak / laurel",NA,104.146189823831,17.1357771541658,18421002.6201268,4916135.19551374,-15.3184562740842,-12.7980217435213,-17.8388908046471,NA,NA,NA,NA,NA,NA,NA
